Zeitschienen,SRG SSR Total,SRF Total,SRF 1,SRF zwei,SRF info,RTS 1,RSI LA 1,Restliche SRG SSR,Andere Sender,Facts,Aktivitäten,Zielgruppe,Region,Jahr,Zeitintervall
12:30:00 - 12:45:00,79.65465864,78.068737874,22.144958319,48.029444371,7.894335183,1.066420662,0.097108802,0.422391302,194.70533514,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
12:45:00 - 13:00:00,114.597742766,112.793694616,56.414566515,47.551629105,8.827498996,1.069196961,0.298567302,0.436283887,192.503547469,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
13:00:00 - 13:15:00,97.225233406,95.766287127,34.839460377,51.11989947,9.806927281,0.589455802,0.390019983,0.479470493,201.948077136,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
13:15:00 - 13:30:00,82.119724469,80.815436884,18.528652703,51.234570894,11.052213287,0.293142709,0.448527245,0.56261763,199.856946881,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
13:30:00 - 13:45:00,85.967831428,84.38017731,22.473156119,51.780281378,10.126739812,0.245409714,0.703624063,0.638620341,193.911446278,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
13:45:00 - 14:00:00,90.318987642,88.700497488,26.071942341,52.142740804,10.485814343,0.225258608,0.720148219,0.673083328,192.956873912,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
14:00:00 - 14:15:00,93.674298652,92.191115883,28.375641713,50.955485766,12.859988404,0.225974378,0.573412638,0.683795754,196.613192897,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
14:15:00 - 14:30:00,88.280148779,87.04467664,28.279905902,47.082824118,11.68194662,0.242545286,0.379537905,0.613388949,202.13402494,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
14:30:00 - 14:45:00,81.536816688,80.326981884,29.17690957,39.931037163,11.219035151,0.307590415,0.322516336,0.579728053,210.115659293,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
14:45:00 - 15:00:00,79.612566254,78.33169352,29.305927446,38.15058891,10.875177164,0.400379999,0.255922502,0.624570233,216.687477514,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
15:00:00 - 15:15:00,81.458087107,80.052832943,28.576802545,39.533817154,11.942213244,0.525126884,0.138400432,0.741726848,230.741767131,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
15:15:00 - 15:30:00,80.197401868,78.779809573,27.163615246,40.118335028,11.4978593,0.528388066,0.114971599,0.77423263,243.319509439,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
15:30:00 - 15:45:00,78.981019571,77.700529107,24.947167604,40.60282046,12.150541043,0.394960654,0.135534494,0.749995316,249.360564617,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
15:45:00 - 16:00:00,83.823024227,82.515633219,30.23117846,39.445897629,12.83855713,0.384531094,0.220744288,0.702115625,255.183719012,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
16:00:00 - 16:15:00,104.445190041,102.831067333,47.191571912,41.60892368,14.030571741,0.44244287,0.45010523,0.721574609,243.484960188,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
16:15:00 - 16:30:00,107.645269853,105.826175698,48.989217282,43.063213526,13.77374489,0.470714215,0.548897755,0.799482185,264.214391895,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
16:30:00 - 16:45:00,107.79877988,105.9249748,47.511576075,45.004037923,13.409360802,0.508402229,0.565729899,0.799672952,273.1529693,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
16:45:00 - 17:00:00,112.5268839,110.644168431,51.084160457,46.048081015,13.511926958,0.540759025,0.501338265,0.840618179,288.335647836,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
17:00:00 - 17:15:00,116.607668507,114.819133084,52.459594727,47.040061235,15.319477122,0.656644443,0.28502313,0.84686785,301.278686388,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
17:15:00 - 17:30:00,112.989486222,111.305144993,47.556011898,49.135673672,14.613459422,0.779391892,0.149202617,0.755746721,327.88977413,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
17:30:00 - 17:45:00,92.165371696,90.57071511,26.070374296,49.084109971,15.416230842,0.773836826,0.126330773,0.694488987,373.748736834,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
17:45:00 - 18:00:00,106.690396448,104.952169728,35.815605363,53.644464332,15.492100033,0.824111797,0.127562668,0.786552255,405.286203032,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
18:00:00 - 18:15:00,166.783913584,163.274521719,90.276619414,61.246325943,11.751576362,2.377998515,0.208756498,0.922636852,581.728286641,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
18:15:00 - 18:30:00,221.29677843,217.881051395,135.13525343,69.638549064,13.1072489,1.959689907,0.312660746,1.143376382,513.63209452,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
18:30:00 - 18:45:00,216.55203438,214.232990208,130.035028158,71.500569815,12.697392235,0.879030211,0.156362033,1.283651928,551.100548937,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
18:45:00 - 19:00:00,248.429838477,246.073953784,158.161231168,75.013316738,12.899405878,1.119025593,0.06522978,1.171629319,537.088873325,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
19:00:00 - 19:15:00,397.060113665,393.810122924,301.274293485,81.60146808,10.934361359,2.166713162,0.088623994,0.994653585,545.65452999,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
19:15:00 - 19:30:00,454.690717655,450.432487135,342.105084675,96.56369104,11.76371142,2.965987566,0.130105316,1.162137638,530.528271041,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
19:30:00 - 19:45:00,858.588720699,845.464826292,727.233090157,76.754855291,41.476880845,12.064298002,0.144710512,0.914885892,488.381914259,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
19:45:00 - 20:00:00,866.251221014,853.350603361,742.68769358,68.66775129,41.99515849,11.975070942,0.09785317,0.82769354,490.476463739,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
20:00:00 - 20:15:00,577.955990007,568.107151874,453.998843379,84.960091704,29.148216791,8.265804928,0.555700234,1.027332972,701.357504062,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
